scenario_id,container_id,size,teu,length,width,height,empty_weight,total_weight,cargo_weight,weight_category,cargo_type,loading_priority,destination
1,S001C0070,20ft,1,6.06,2.44,2.59,2.3,9.64,7.34,light,hazmat,2,PORT_B
1,S001C0071,40ft,2,12.03,2.44,2.59,3.75,20.71,16.96,medium,reefer,4,PORT_B
1,S001C0072,40ft,2,12.03,2.44,2.59,3.75,19.93,16.18,medium,general,3,PORT_B
1,S001C0073,20ft,1,6.06,2.44,2.59,2.3,12.81,10.51,medium,general,3,PORT_B
1,S001C0074,20ft,1,6.06,2.44,2.59,2.3,8.17,5.87,light,reefer,4,PORT_B
1,S001C0075,20ft,1,6.06,2.44,2.59,2.3,23.63,21.33,heavy,general,1,PORT_B
1,S001C0076,20ft,1,6.06,2.44,2.59,2.3,14.8,12.5,medium,general,1,PORT_B
1,S001C0077,20ft,1,6.06,2.44,2.59,2.3,14.35,12.05,medium,reefer,2,PORT_B
1,S001C0078,20ft,1,6.06,2.44,2.59,2.3,23.31,21.01,heavy,general,3,PORT_B
1,S001C0079,20ft,1,6.06,2.44,2.59,2.3,9.3,7.0,light,general,3,PORT_B
1,S001C0080,40ft,2,12.03,2.44,2.59,3.75,28.79,25.04,heavy,general,5,PORT_B
1,S001C0081,20ft,1,6.06,2.44,2.59,2.3,14.74,12.44,medium,reefer,1,PORT_B
1,S001C0082,20ft,1,6.06,2.44,2.59,2.3,9.64,7.34,light,general,5,PORT_B
1,S001C0083,20ft,1,6.06,2.44,2.59,2.3,7.93,5.63,light,general,3,PORT_B
1,S001C0084,20ft,1,6.06,2.44,2.59,2.3,17.12,14.82,medium,general,5,PORT_B
1,S001C0085,20ft,1,6.06,2.44,2.59,2.3,9.75,7.45,light,general,1,PORT_B
1,S001C0086,20ft,1,6.06,2.44,2.59,2.3,16.93,14.63,medium,general,1,PORT_B
1,S001C0087,20ft,1,6.06,2.44,2.59,2.3,5.08,2.78,light,general,3,PORT_B
1,S001C0088,20ft,1,6.06,2.44,2.59,2.3,14.71,12.41,medium,general,4,PORT_B
1,S001C0089,40ft,2,12.03,2.44,2.59,3.75,8.35,4.6,light,reefer,2,PORT_B
1,S001C0090,20ft,1,6.06,2.44,2.59,2.3,6.52,4.22,light,general,5,PORT_B
1,S001C0091,20ft,1,6.06,2.44,2.59,2.3,10.63,8.33,medium,general,3,PORT_B
1,S001C0092,20ft,1,6.06,2.44,2.59,2.3,19.5,17.2,heavy,general,2,PORT_B
1,S001C0093,40ft,2,12.03,2.44,2.59,3.75,13.99,10.24,light,reefer,4,PORT_B
1,S001C0094,40ft,2,12.03,2.44,2.59,3.75,23.16,19.41,medium,general,2,PORT_B
1,S001C0095,20ft,1,6.06,2.44,2.59,2.3,22.92,20.62,heavy,reefer,4,PORT_B
1,S001C0096,20ft,1,6.06,2.44,2.59,2.3,9.85,7.55,light,general,4,PORT_B
1,S001C0097,40ft,2,12.03,2.44,2.59,3.75,28.82,25.07,heavy,general,3,PORT_B
1,S001C0098,20ft,1,6.06,2.44,2.59,2.3,11.16,8.86,medium,general,1,PORT_B
1,S001C0099,20ft,1,6.06,2.44,2.59,2.3,9.2,6.9,light,general,4,PORT_B
1,S001C0100,20ft,1,6.06,2.44,2.59,2.3,9.07,6.77,light,general,2,PORT_B
1,S001C0101,20ft,1,6.06,2.44,2.59,2.3,5.46,3.16,light,general,3,PORT_B
1,S001C0102,20ft,1,6.06,2.44,2.59,2.3,23.81,21.51,heavy,general,3,PORT_B
1,S001C0103,20ft,1,6.06,2.44,2.59,2.3,13.5,11.2,medium,general,5,PORT_B
1,S001C0104,20ft,1,6.06,2.44,2.59,2.3,18.96,16.66,heavy,general,3,PORT_B
1,S001C0105,20ft,1,6.06,2.44,2.59,2.3,18.17,15.87,medium,hazmat,1,PORT_B
1,S001C0106,20ft,1,6.06,2.44,2.59,2.3,13.07,10.77,medium,general,3,PORT_B
1,S001C0107,20ft,1,6.06,2.44,2.59,2.3,14.39,12.09,medium,general,4,PORT_B
1,S001C0108,40ft,2,12.03,2.44,2.59,3.75,8.11,4.36,light,reefer,4,PORT_B
1,S001C0109,20ft,1,6.06,2.44,2.59,2.3,16.75,14.45,medium,general,2,PORT_B
1,S001C0110,20ft,1,6.06,2.44,2.59,2.3,17.89,15.59,medium,general,3,PORT_B
1,S001C0111,40ft,2,12.03,2.44,2.59,3.75,14.53,10.78,light,general,3,PORT_B
1,S001C0112,20ft,1,6.06,2.44,2.59,2.3,6.75,4.45,light,general,4,PORT_B
1,S001C0113,40ft,2,12.03,2.44,2.59,3.75,8.77,5.02,light,hazmat,4,PORT_B
1,S001C0114,40ft,2,12.03,2.44,2.59,3.75,27.98,24.23,heavy,reefer,2,PORT_B
1,S001C0115,40ft,2,12.03,2.44,2.59,3.75,19.0,15.25,medium,general,1,PORT_B
1,S001C0116,20ft,1,6.06,2.44,2.59,2.3,6.88,4.58,light,reefer,5,PORT_B
1,S001C0117,40ft,2,12.03,2.44,2.59,3.75,19.47,15.72,medium,reefer,4,PORT_B
1,S001C0118,40ft,2,12.03,2.44,2.59,3.75,11.54,7.79,light,general,2,PORT_B
1,S001C0119,40ft,2,12.03,2.44,2.59,3.75,11.87,8.12,light,reefer,5,PORT_B
1,S001C0120,20ft,1,6.06,2.44,2.59,2.3,10.01,7.71,light,general,2,PORT_B
1,S001C0121,40ft,2,12.03,2.44,2.59,3.75,14.2,10.45,light,reefer,2,PORT_B
1,S001C0122,20ft,1,6.06,2.44,2.59,2.3,10.2,7.9,light,reefer,5,PORT_B
1,S001C0123,40ft,2,12.03,2.44,2.59,3.75,11.07,7.32,light,general,5,PORT_B
1,S001C0124,20ft,1,6.06,2.44,2.59,2.3,13.37,11.07,medium,general,4,PORT_B
1,S001C0125,20ft,1,6.06,2.44,2.59,2.3,8.43,6.13,light,general,1,PORT_B
1,S001C0126,40ft,2,12.03,2.44,2.59,3.75,17.16,13.41,medium,general,5,PORT_B
1,S001C0127,20ft,1,6.06,2.44,2.59,2.3,5.8,3.5,light,reefer,1,PORT_B
1,S001C0128,20ft,1,6.06,2.44,2.59,2.3,7.09,4.79,light,reefer,5,PORT_B
1,S001C0129,40ft,2,12.03,2.44,2.59,3.75,23.35,19.6,medium,general,4,PORT_B
1,S001C0130,40ft,2,12.03,2.44,2.59,3.75,22.89,19.14,medium,general,4,PORT_B
1,S001C0131,40ft,2,12.03,2.44,2.59,3.75,17.02,13.27,medium,general,4,PORT_B
1,S001C0132,20ft,1,6.06,2.44,2.59,2.3,5.78,3.48,light,general,3,PORT_B
1,S001C0133,40ft,2,12.03,2.44,2.59,3.75,19.63,15.88,medium,general,2,PORT_B
1,S001C0134,20ft,1,6.06,2.44,2.59,2.3,16.01,13.71,medium,general,2,PORT_B
1,S001C0135,20ft,1,6.06,2.44,2.59,2.3,9.66,7.36,light,hazmat,1,PORT_B
1,S001C0136,20ft,1,6.06,2.44,2.59,2.3,6.6,4.3,light,general,2,PORT_B
1,S001C0137,40ft,2,12.03,2.44,2.59,3.75,11.07,7.32,light,general,3,PORT_B
1,S001C0138,20ft,1,6.06,2.44,2.59,2.3,10.8,8.5,medium,general,4,PORT_B
1,S001C0139,20ft,1,6.06,2.44,2.59,2.3,21.63,19.33,heavy,general,1,PORT_B
1,S001C0140,40ft,2,12.03,2.44,2.59,3.75,19.57,15.82,medium,hazmat,3,PORT_B
1,S001C0141,20ft,1,6.06,2.44,2.59,2.3,17.13,14.83,medium,hazmat,4,PORT_B
1,S001C0142,20ft,1,6.06,2.44,2.59,2.3,14.67,12.37,medium,general,5,PORT_B
1,S001C0143,20ft,1,6.06,2.44,2.59,2.3,12.48,10.18,medium,general,4,PORT_B
1,S001C0144,20ft,1,6.06,2.44,2.59,2.3,8.31,6.01,light,general,4,PORT_B
1,S001C0145,40ft,2,12.03,2.44,2.59,3.75,11.49,7.74,light,general,2,PORT_B
1,S001C0146,40ft,2,12.03,2.44,2.59,3.75,23.01,19.26,medium,general,5,PORT_B
1,S001C0147,40ft,2,12.03,2.44,2.59,3.75,16.42,12.67,medium,general,4,PORT_B
1,S001C0148,20ft,1,6.06,2.44,2.59,2.3,19.34,17.04,heavy,general,3,PORT_B
1,S001C0149,20ft,1,6.06,2.44,2.59,2.3,7.03,4.73,light,general,3,PORT_B
1,S001C0150,40ft,2,12.03,2.44,2.59,3.75,25.49,21.74,heavy,general,4,PORT_B
1,S001C0151,20ft,1,6.06,2.44,2.59,2.3,14.06,11.76,medium,hazmat,5,PORT_B
1,S001C0152,20ft,1,6.06,2.44,2.59,2.3,20.29,17.99,heavy,general,1,PORT_B
1,S001C0153,40ft,2,12.03,2.44,2.59,3.75,24.0,20.25,heavy,general,1,PORT_B
1,S001C0154,20ft,1,6.06,2.44,2.59,2.3,4.42,2.12,light,general,2,PORT_B
1,S001C0155,20ft,1,6.06,2.44,2.59,2.3,8.32,6.02,light,hazmat,5,PORT_B
1,S001C0156,20ft,1,6.06,2.44,2.59,2.3,12.35,10.05,medium,general,3,PORT_B
1,S001C0157,20ft,1,6.06,2.44,2.59,2.3,18.01,15.71,medium,general,1,PORT_B
1,S001C0158,40ft,2,12.03,2.44,2.59,3.75,23.47,19.72,medium,reefer,1,PORT_B
1,S001C0159,40ft,2,12.03,2.44,2.59,3.75,10.25,6.5,light,general,4,PORT_B
1,S001C0160,20ft,1,6.06,2.44,2.59,2.3,19.43,17.13,heavy,general,5,PORT_B
1,S001C0161,40ft,2,12.03,2.44,2.59,3.75,17.69,13.94,medium,general,3,PORT_B
1,S001C0162,40ft,2,12.03,2.44,2.59,3.75,16.72,12.97,medium,general,5,PORT_B
1,S001C0163,20ft,1,6.06,2.44,2.59,2.3,6.87,4.57,light,general,3,PORT_B
1,S001C0164,20ft,1,6.06,2.44,2.59,2.3,13.03,10.73,medium,general,4,PORT_B
1,S001C0165,20ft,1,6.06,2.44,2.59,2.3,10.06,7.76,light,general,4,PORT_B
1,S001C0166,40ft,2,12.03,2.44,2.59,3.75,9.16,5.41,light,reefer,5,PORT_B
1,S001C0167,40ft,2,12.03,2.44,2.59,3.75,14.22,10.47,light,general,5,PORT_B
1,S001C0168,40ft,2,12.03,2.44,2.59,3.75,19.23,15.48,medium,general,5,PORT_B
1,S001C0169,20ft,1,6.06,2.44,2.59,2.3,5.77,3.47,light,general,1,PORT_B
1,S001C0170,20ft,1,6.06,2.44,2.59,2.3,19.69,17.39,heavy,general,4,PORT_B
1,S001C0171,40ft,2,12.03,2.44,2.59,3.75,18.78,15.03,medium,general,1,PORT_B
1,S001C0172,20ft,1,6.06,2.44,2.59,2.3,19.34,17.04,heavy,general,2,PORT_B
1,S001C0173,20ft,1,6.06,2.44,2.59,2.3,13.02,10.72,medium,general,5,PORT_B
1,S001C0174,40ft,2,12.03,2.44,2.59,3.75,27.22,23.47,heavy,general,5,PORT_B
1,S001C0175,20ft,1,6.06,2.44,2.59,2.3,8.62,6.32,light,general,4,PORT_B
1,S001C0176,40ft,2,12.03,2.44,2.59,3.75,21.27,17.52,medium,general,4,PORT_B
1,S001C0177,20ft,1,6.06,2.44,2.59,2.3,11.04,8.74,medium,general,2,PORT_B
1,S001C0178,20ft,1,6.06,2.44,2.59,2.3,12.75,10.45,medium,general,5,PORT_B
1,S001C0179,20ft,1,6.06,2.44,2.59,2.3,14.55,12.25,medium,hazmat,4,PORT_B
1,S001C0180,40ft,2,12.03,2.44,2.59,3.75,18.56,14.81,medium,general,4,PORT_B
1,S001C0181,20ft,1,6.06,2.44,2.59,2.3,5.68,3.38,light,general,2,PORT_B
1,S001C0182,20ft,1,6.06,2.44,2.59,2.3,7.52,5.22,light,general,2,PORT_B
1,S001C0183,20ft,1,6.06,2.44,2.59,2.3,7.21,4.91,light,hazmat,5,PORT_B
1,S001C0184,40ft,2,12.03,2.44,2.59,3.75,18.01,14.26,medium,reefer,1,PORT_B
1,S001C0185,20ft,1,6.06,2.44,2.59,2.3,6.47,4.17,light,general,3,PORT_B
1,S001C0186,20ft,1,6.06,2.44,2.59,2.3,11.31,9.01,medium,general,1,PORT_B
1,S001C0187,20ft,1,6.06,2.44,2.59,2.3,15.88,13.58,medium,reefer,2,PORT_B
1,S001C0188,40ft,2,12.03,2.44,2.59,3.75,26.82,23.07,heavy,general,1,PORT_B
1,S001C0189,40ft,2,12.03,2.44,2.59,3.75,11.58,7.83,light,general,3,PORT_B
1,S001C0190,20ft,1,6.06,2.44,2.59,2.3,19.74,17.44,heavy,general,4,PORT_B
1,S001C0191,20ft,1,6.06,2.44,2.59,2.3,13.51,11.21,medium,general,1,PORT_B
1,S001C0192,40ft,2,12.03,2.44,2.59,3.75,16.18,12.43,medium,reefer,2,PORT_B
1,S001C0193,40ft,2,12.03,2.44,2.59,3.75,24.28,20.53,heavy,hazmat,2,PORT_B
1,S001C0194,20ft,1,6.06,2.44,2.59,2.3,13.63,11.33,medium,general,5,PORT_B
1,S001C0195,40ft,2,12.03,2.44,2.59,3.75,11.93,8.18,light,general,4,PORT_B
1,S001C0196,20ft,1,6.06,2.44,2.59,2.3,7.83,5.53,light,general,4,PORT_B
1,S001C0197,20ft,1,6.06,2.44,2.59,2.3,10.78,8.48,medium,general,1,PORT_B
1,S001C0198,40ft,2,12.03,2.44,2.59,3.75,9.44,5.69,light,reefer,1,PORT_B
1,S001C0199,20ft,1,6.06,2.44,2.59,2.3,7.61,5.31,light,reefer,2,PORT_B
1,S001C0200,20ft,1,6.06,2.44,2.59,2.3,15.81,13.51,medium,reefer,4,PORT_B
1,S001C0201,20ft,1,6.06,2.44,2.59,2.3,6.03,3.73,light,general,3,PORT_B
1,S001C0202,40ft,2,12.03,2.44,2.59,3.75,24.19,20.44,heavy,general,2,PORT_B
1,S001C0203,20ft,1,6.06,2.44,2.59,2.3,15.3,13.0,medium,general,2,PORT_B
1,S001C0204,20ft,1,6.06,2.44,2.59,2.3,5.65,3.35,light,reefer,2,PORT_B
1,S001C0205,20ft,1,6.06,2.44,2.59,2.3,10.87,8.57,medium,general,2,PORT_B
1,S001C0206,20ft,1,6.06,2.44,2.59,2.3,16.89,14.59,medium,general,3,PORT_B
1,S001C0207,20ft,1,6.06,2.44,2.59,2.3,8.43,6.13,light,general,4,PORT_B
1,S001C0208,20ft,1,6.06,2.44,2.59,2.3,14.25,11.95,medium,general,1,PORT_B
1,S001C0209,40ft,2,12.03,2.44,2.59,3.75,11.21,7.46,light,general,3,PORT_B
1,S001C0210,40ft,2,12.03,2.44,2.59,3.75,8.48,4.73,light,general,5,PORT_B
1,S001C0211,40ft,2,12.03,2.44,2.59,3.75,30.0,26.25,heavy,general,3,PORT_B
1,S001C0212,40ft,2,12.03,2.44,2.59,3.75,13.8,10.05,light,general,4,PORT_B
1,S001C0213,20ft,1,6.06,2.44,2.59,2.3,17.63,15.33,medium,general,2,PORT_B
1,S001C0214,40ft,2,12.03,2.44,2.59,3.75,22.26,18.51,medium,general,1,PORT_B
1,S001C0215,20ft,1,6.06,2.44,2.59,2.3,6.3,4.0,light,general,1,PORT_B
1,S001C0216,20ft,1,6.06,2.44,2.59,2.3,8.46,6.16,light,general,3,PORT_B
1,S001C0217,40ft,2,12.03,2.44,2.59,3.75,28.83,25.08,heavy,general,5,PORT_B
1,S001C0218,20ft,1,6.06,2.44,2.59,2.3,12.82,10.52,medium,general,3,PORT_B
1,S001C0219,20ft,1,6.06,2.44,2.59,2.3,20.6,18.3,heavy,general,5,PORT_B
1,S001C0220,20ft,1,6.06,2.44,2.59,2.3,14.64,12.34,medium,reefer,4,PORT_B
1,S001C0221,20ft,1,6.06,2.44,2.59,2.3,6.47,4.17,light,general,4,PORT_B
1,S001C0222,40ft,2,12.03,2.44,2.59,3.75,16.16,12.41,medium,general,3,PORT_B
1,S001C0223,40ft,2,12.03,2.44,2.59,3.75,10.05,6.3,light,general,4,PORT_B
1,S001C0224,20ft,1,6.06,2.44,2.59,2.3,8.08,5.78,light,general,2,PORT_B
1,S001C0225,40ft,2,12.03,2.44,2.59,3.75,12.16,8.41,light,general,5,PORT_B
1,S001C0226,20ft,1,6.06,2.44,2.59,2.3,10.25,7.95,light,general,1,PORT_B
1,S001C0227,20ft,1,6.06,2.44,2.59,2.3,21.99,19.69,heavy,hazmat,2,PORT_B
1,S001C0228,20ft,1,6.06,2.44,2.59,2.3,19.96,17.66,heavy,general,3,PORT_B
1,S001C0229,20ft,1,6.06,2.44,2.59,2.3,18.14,15.84,medium,reefer,2,PORT_B
1,S001C0230,20ft,1,6.06,2.44,2.59,2.3,13.37,11.07,medium,general,5,PORT_B
1,S001C0231,20ft,1,6.06,2.44,2.59,2.3,11.39,9.09,medium,reefer,1,PORT_B
1,S001C0232,20ft,1,6.06,2.44,2.59,2.3,17.14,14.84,medium,general,3,PORT_B
1,S001C0233,20ft,1,6.06,2.44,2.59,2.3,4.32,2.02,light,general,3,PORT_B
1,S001C0234,40ft,2,12.03,2.44,2.59,3.75,21.03,17.28,medium,general,2,PORT_B
1,S001C0235,20ft,1,6.06,2.44,2.59,2.3,13.06,10.76,medium,general,5,PORT_B
1,S001C0236,40ft,2,12.03,2.44,2.59,3.75,19.39,15.64,medium,general,3,PORT_B
1,S001C0237,20ft,1,6.06,2.44,2.59,2.3,19.66,17.36,heavy,general,4,PORT_B
1,S001C0238,20ft,1,6.06,2.44,2.59,2.3,20.64,18.34,heavy,general,3,PORT_B
1,S001C0239,40ft,2,12.03,2.44,2.59,3.75,23.06,19.31,medium,general,4,PORT_B
1,S001C0240,20ft,1,6.06,2.44,2.59,2.3,22.82,20.52,heavy,general,2,PORT_B
1,S001C0241,20ft,1,6.06,2.44,2.59,2.3,19.02,16.72,heavy,hazmat,5,PORT_B
1,S001C0242,20ft,1,6.06,2.44,2.59,2.3,23.28,20.98,heavy,hazmat,4,PORT_B
1,S001C0243,20ft,1,6.06,2.44,2.59,2.3,13.96,11.66,medium,hazmat,2,PORT_B
1,S001C0244,20ft,1,6.06,2.44,2.59,2.3,23.83,21.53,heavy,general,1,PORT_B
1,S001C0245,20ft,1,6.06,2.44,2.59,2.3,12.42,10.12,medium,general,5,PORT_B
1,S001C0246,40ft,2,12.03,2.44,2.59,3.75,16.39,12.64,medium,hazmat,3,PORT_B
1,S001C0247,40ft,2,12.03,2.44,2.59,3.75,26.13,22.38,heavy,general,3,PORT_B
1,S001C0248,40ft,2,12.03,2.44,2.59,3.75,21.83,18.08,medium,hazmat,5,PORT_B
1,S001C0249,20ft,1,6.06,2.44,2.59,2.3,12.18,9.88,medium,hazmat,3,PORT_B
1,S001C0250,20ft,1,6.06,2.44,2.59,2.3,13.77,11.47,medium,reefer,1,PORT_B
1,S001C0251,40ft,2,12.03,2.44,2.59,3.75,22.73,18.98,medium,general,4,PORT_B
1,S001C0252,20ft,1,6.06,2.44,2.59,2.3,17.53,15.23,medium,general,1,PORT_B
1,S001C0253,20ft,1,6.06,2.44,2.59,2.3,12.65,10.35,medium,reefer,3,PORT_B
1,S001C0254,20ft,1,6.06,2.44,2.59,2.3,7.49,5.19,light,general,5,PORT_B
1,S001C0255,40ft,2,12.03,2.44,2.59,3.75,17.11,13.36,medium,general,1,PORT_B
1,S001C0256,40ft,2,12.03,2.44,2.59,3.75,27.62,23.87,heavy,general,2,PORT_B
1,S001C0257,20ft,1,6.06,2.44,2.59,2.3,19.12,16.82,heavy,hazmat,4,PORT_B
1,S001C0258,40ft,2,12.03,2.44,2.59,3.75,9.79,6.04,light,general,1,PORT_B
1,S001C0259,20ft,1,6.06,2.44,2.59,2.3,22.16,19.86,heavy,general,2,PORT_B
1,S001C0260,20ft,1,6.06,2.44,2.59,2.3,13.06,10.76,medium,general,5,PORT_B
1,S001C0261,20ft,1,6.06,2.44,2.59,2.3,13.69,11.39,medium,general,3,PORT_B
1,S001C0262,20ft,1,6.06,2.44,2.59,2.3,11.89,9.59,medium,hazmat,4,PORT_B
1,S001C0263,20ft,1,6.06,2.44,2.59,2.3,6.59,4.29,light,general,3,PORT_B
1,S001C0264,40ft,2,12.03,2.44,2.59,3.75,13.34,9.59,light,general,1,PORT_B
1,S001C0265,40ft,2,12.03,2.44,2.59,3.75,15.81,12.06,medium,reefer,1,PORT_B
1,S001C0266,40ft,2,12.03,2.44,2.59,3.75,22.41,18.66,medium,general,3,PORT_B
1,S001C0267,40ft,2,12.03,2.44,2.59,3.75,20.61,16.86,medium,general,3,PORT_B
1,S001C0268,20ft,1,6.06,2.44,2.59,2.3,15.27,12.97,medium,general,2,PORT_B
1,S001C0269,40ft,2,12.03,2.44,2.59,3.75,12.77,9.02,light,general,1,PORT_B
1,S001C0270,20ft,1,6.06,2.44,2.59,2.3,10.57,8.27,medium,general,3,PORT_B
